0 183 262
1 281 396
2 316 410
3 360 436
4 447 486
5 465 536
6 498 522
7 597 587
8 610 632
9 639 651
10 721 722
11 760 710
11 807 702
13 913 823
14 899 1094
14 898 863
16 1008 936
17 1063 949
18 1061 980
18 1102 1004
19 1152 1046
20 1185 1131
21 1224 1073
23 1350 1146
24 1342 1194
25 1438 1302
26 1472 1307
26 1473 1313
28 1582 1311
29 1616 1362
29 1615 1418
100 5029 4233
198 9791 8139
298 14521 12260
399 19273 16308
497 23976 20231
994 47635 40053
1986 94767 79537
2970 144845 122950
9911 475047 400117
19822 948141 800631
29761 1422365 1204192
99182 4741797 4016417
198448 9537543 8042095
297612 14302254 12044136
