0 64 169
1 94 199
2 96 202
3 96 205
4 105 216
5 106 219
6 106 218
7 114 229
8 115 234
9 114 256
10 123 248
11 124 249
11 124 248
13 133 261
14 134 265
14 135 263
16 143 275
17 153 291
18 143 276
18 144 277
19 153 289
20 154 291
21 153 290
23 163 302
24 162 302
25 171 338
26 172 319
26 173 322
28 181 326
29 183 334
29 182 333
100 448 677
198 848 1088
298 1157 1609
399 1466 2062
497 1820 2490
994 3468 5101
1986 6615 12587
2970 9779 21399
9911 32284 84431
19822 64267 172042
29761 98053 262237
99182 324622 868384
198448 705085 1756655
297612 1061533 2598566
