0 227 634
1 261 681
2 264 633
3 269 635
4 298 650
5 278 651
6 282 650
7 290 666
8 293 688
9 297 668
10 304 685
11 342 686
11 306 687
13 317 702
14 371 704
14 293 705
16 303 756
17 307 739
18 321 758
18 321 735
19 327 752
20 331 779
21 336 754
23 346 774
24 350 774
25 355 787
26 359 790
26 360 791
28 371 806
29 399 807
29 374 807
100 740 1265
198 1288 1899
298 1779 2501
399 2275 3106
497 2777 3681
994 5214 6771
1986 10124 12870
2970 14955 18791
9911 49257 61054
19822 98323 121521
29761 149378 183220
99182 493917 608004
198448 990470 1219266
297612 1482047 1829846
