0 106 495
1 134 483
2 133 484
3 138 484
4 142 516
5 142 493
6 146 492
7 149 501
8 150 503
9 154 523
10 157 512
11 157 542
11 157 514
13 164 522
14 139 565
14 139 530
16 146 538
17 147 538
18 149 541
18 149 583
19 155 547
20 161 547
21 161 550
23 370 687
24 370 1085
25 394 1082
26 380 1080
26 175 643
28 181 577
29 184 600
29 184 578
100 400 842
198 732 1192
298 1028 1537
399 1282 1876
497 1579 2186
994 2944 3914
1986 5738 7267
2970 8509 10599
9911 27865 33859
19822 55765 67240
29761 83629 100861
99182 281191 335448
198448 562582 673645
297612 843405 1011243
