0 326 253
1 891 458
2 882 598
3 901 748
4 1192 837
5 1200 979
6 1232 1006
7 1511 1111
8 1611 1135
9 1558 1302
10 1699 1403
11 1710 1413
11 1716 1421
13 2010 1584
14 2021 1576
14 2022 1606
16 2180 1723
17 2195 1846
18 2217 1896
18 2219 1898
19 2373 1983
20 2384 2016
21 2420 2024
23 2579 2173
24 2584 2223
25 2857 2335
26 2865 2363
26 2864 2295
28 3038 2487
29 3047 2438
29 3053 2519
100 7733 6431
198 13592 11581
298 19464 16875
399 25536 22285
497 31233 27480
994 60260 53822
1986 118032 105466
2970 175438 156473
9911 580255 516754
19822 1163159 1027462
29761 1758414 1543671
99182 5882021 5141302
198448 11783463 10262441
297612 17675282 15505761
